Раздел 1. СОВРЕМЕННОЕ СОСТОЯНИЕ ЭКОНОМИКИ УДМУРТСКОЙ РЕСПУБЛИКИ;-1
1.1. Объем и специализация экономики;-1
1.2. Темпы экономического развития;-1
1.3. Человеческий капитал;5
"1.4. Комплексная планировочная система ""Ижевская агломерация""";-1
1.5. Состояние инфраструктур и жилищная политика;-1
Раздел 2. ФАКТОРЫ РАЗВИТИЯ ЭКОНОМИКИ УДМУРТСКОЙ РЕСПУБЛИКИ;-1
2.1. Долгосрочные тенденции развития экономики Удмуртской Республики;-1
2.2. Направления развития секторов экономики Удмуртской Республики;6
2.3. Последствия кризиса в мировой экономике;-1
2.4. Необходимость выбора приоритетов в условиях текущих экономических проблем;-1
Раздел 3. СЦЕНАРИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ УДМУРТСКОЙ РЕСПУБЛИКИ ДО 2025 ГОДА;4
"3.1. Базовый (инерционный) сценарий развития ""Полифункциональный процессинговый центр""";4
3.2. Риски реализации базового (инерционного) сценария.;4
"3.3. Целевой сценарий ""Диверсификация и технологический переход""";4
"3.4. Риски реализации целевого сценария ""Диверсификация и технологический переход""";4
Раздел 4. МИССИЯ, ЦЕЛИ И ЗАДАЧИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ УДМУРТСКОЙ РЕСПУБЛИКИ;3
Раздел 5. РЕАЛИЗАЦИЯ ОСНОВНЫХ НАПРАВЛЕНИЙ РАЗВИТИЯ ЭКОНОМИКИ;16
5.1. Диверсификация экономики: поддержка приоритетных и модернизация традиционных секторов специализации;-1
5.2. Сохранение высокого качества человеческого потенциала;5
5.3. Основные направления развития системы расселения;-1
Раздел 6. МЕХАНИЗМЫ И ЭТАПЫ РЕАЛИЗАЦИИ СТРАТЕГИИ;14
6.1. Модернизация системы государственного управления;-1
6.2. Этапы реализации Стратегии;14
6.3. Целевые показатели реализации Стратегии;15
Приложение 1. ПЕРЕЧЕНЬ ОСНОВНЫХ ПРАВОВЫХ АКТОВ В СФЕРЕ ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ;-1
Приложение 2. ПЕРЕЧЕНЬ ГОСУДАРСТВЕННЫХ ПРОГРАММ УДМУРТСКОЙ РЕСПУБЛИКИ;18
