1. Анализ и оценка социально-экономических процессов, происходящих во Владимирской области за период 2007 - 2013 годов;2
Географическое положение.;-1
Экономическое развитие.;-1
Дороги и транспорт.;-1
Экология и охрана окружающей среды.;-1
Жилищное строительство.;-1
Инженерная инфраструктура.;-1
Демография и уровень занятости населения.;-1
Социальная сфера.;-1
Туризм.;-1
2. Анализ рисков и ресурсных возможностей развития региона с учетом выявленного потенциала и факторов развития;-1
3. Стратегический замысел (миссия) долгосрочного развития Владимирской области;-1
4. Цели, задачи, сценарии и система приоритетных направлений (векторов) Стратегии социально-экономического развития Владимирской области;3
4.1. Цели и задачи Стратегии социально-экономического развития Владимирской области.;3
4.2. Сценарии социально-экономического развития Владимирской области.;4
4.3. Система приоритетных направлений (векторов) Стратегии.;6
5. Механизмы и инструменты реализации Стратегии социально-экономического развития Владимирской области;14
5.1. Механизмы реализации Стратегии.;14
5.2. Инструменты реализации Стратегии.;14
6. Механизм мониторинга и актуализации Стратегии;14
Структура системы непрерывного планирования.;-1
Система оперативного реагирования.;-1
Приложение N 1. ОСНОВНЫЕ ЦЕЛЕВЫЕ ИНДИКАТОРЫ РЕАЛИЗАЦИИ СТРАТЕГИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ ПО ТРЕМ СЦЕНАРИЯМ;16
Приложение N 2. ЦЕЛЕВЫЕ ИНДИКАТОРЫ РЕАЛИЗАЦИИ СТРАТЕГИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ ПО ЦЕЛЕВОМУ СЦЕНАРИЮ;16
ЦЕЛЬ 1. ВЛАДИМИРСКАЯ ОБЛАСТЬ - ТЕРРИТОРИЯ ИННОВАЦИОННОГО РАЗВИТИЯ С ВЫСОКОЭФФЕКТИВНОЙ КОНКУРЕНТОСПОСОБНОЙ ЭКОНОМИКОЙ <7>;-1
ЦЕЛЬ 2. ВЛАДИМИРСКАЯ ОБЛАСТЬ - РЕГИОН, ПРИВЛЕКАТЕЛЬНЫЙ ДЛЯ ИНВЕСТОРОВ, С РАЗВИТОЙ ИНСТИТУЦИОНАЛЬНОЙ СРЕДОЙ;-1
ЦЕЛЬ 3. ВЛАДИМИРСКАЯ ОБЛАСТЬ - КРУПНЫЙ ТРАНЗИТНЫЙ УЗЕЛ С ШИРОКИМ СПЕКТРОМ ЛОГИСТИЧЕСКИХ УСЛУГ И РАЗВИТОЙ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРОЙ;-1
ЦЕЛЬ 4. ВЛАДИМИРСКАЯ ОБЛАСТЬ - РЕГИОН КОМФОРТНОЙ СОЦИАЛЬНОЙ И ЭКОЛОГИЧЕСКОЙ СРЕДЫ;-1
ЦЕЛЬ 5. ВЛАДИМИРСКАЯ ОБЛАСТЬ - ЦЕНТР ПРИТЯЖЕНИЯ РОССИЙСКИХ И ИНОСТРАННЫХ ТУРИСТОВ;-1
ЦЕЛЬ 6. ВЛАДИМИРСКАЯ ОБЛАСТЬ - ТЕРРИТОРИЯ ЭФФЕКТИВНОГО ГОСУДАРСТВЕННОГО И МУНИЦИПАЛЬНОГО УПРАВЛЕНИЯ;-1
Приложение N 3. РЕЕСТР КЛЮЧЕВЫХ ИНВЕСТИЦИОННЫХ ПРОЕКТОВ ВЛАДИМИРСКОЙ ОБЛАСТИ;17
Агропромышленный комплекс;-1
Производство транспортных средств и оборудования;-1
Химическая промышленность;-1
Лесная промышленность;-1
Строительный комплекс;-1
Транспортная система;-1
Машиностроение;-1
Фармацевтика;-1
Стекольная промышленность;-1
Биоэнергетический кластер;-1
Туризм;-1
Инвестиционная инфраструктура;-1
Другое;-1
