Сокращения;-1
Вводная часть. Общие сведения об автономном округе;1
Раздел 1. СТРАТЕГИЧЕСКАЯ ДИАГНОСТИКА;-1
1.1. Глобальные вызовы регионов Арктической зоны;-1
1.2. Экономика и инфраструктура;-1
1.3. Социальная сфера;-1
1.4. Коренные малочисленные народы Севера;-1
1.5. Состояние окружающей среды;-1
1.6. Государственное управление;-1
1.7. Текущее состояние муниципальных образований;-1
1.8. Оценка достигнутых целей социально-экономического развития автономного округа;2
Раздел 2. СТРАТЕГИЧЕСКАЯ ДОКТРИНА И ОПИСАНИЕ СЦЕНАРИЕВ РАЗВИТИЯ;4
2.1. Сценарии развития автономного округа;4
2.2. Пространственное развитие автономного округа;10
2.3. Этапы реализации Стратегии;14
Раздел 3. СТРАТЕГИЧЕСКИЕ НАПРАВЛЕНИЯ РАЗВИТИЯ;6
3.1. Приоритет 1: Устойчивый экономический рост;3
3.2. Приоритет 2: Повышение качества жизни;3
3.3. Приоритет 3: Сохранение и устойчивое развитие КМНС;3
3.4. Приоритет 4: Рациональное природопользование и обеспечение экологической безопасности;3
3.5. Приоритет 5: Эффективное управление регионом;3
Раздел 4. ОЖИДАЕМЫЕ РЕЗУЛЬТАТЫ И ЦЕЛЕВЫЕ ИНДИКАТОРЫ РЕАЛИЗАЦИИ СТРАТЕГИИ;16
Таблица 2. Целевые показатели экономического развития;15
Таблица 3. Целевые показатели социального развития;15
Таблица 4. Целевые показатели по численности населения ЯНАО;15
Раздел 5. ОСНОВНЫЕ МЕХАНИЗМЫ РЕАЛИЗАЦИИ И РЕСУРСНОГО ОБЕСПЕЧЕНИЯ МЕРОПРИЯТИЙ, ПРЕДУСМОТРЕННЫХ СТРАТЕГИЕЙ;13
Раздел 6. ИНФОРМАЦИЯ О ГОСУДАРСТВЕННЫХ ПРОГРАММАХ АВТОНОМНОГО ОКРУГА, УТВЕРЖДАЕМЫХ В ЦЕЛЯХ РЕАЛИЗАЦИИ СТРАТЕГИИ;18
