1. Анализ социально-экономического и пространственного положения Амурской области;-1
1.1. Общие положения;1
Географическое и геополитическое положение;-1
Административно-территориальное деление;-1
Минерально-сырьевые ресурсы;-1
Водные ресурсы;-1
Аграрно-климатические условия;-1
Лесные ресурсы;-1
Транспортная система;-1
Рекреационные ресурсы;-1
Позиции Амурской области среди субъектов ДФО и Российской Федерации;-1
1.2. Оценка достигнутых целей социально-экономического развития Амурской области, утвержденных Стратегией;2
Экономические и финансовые показатели;-1
Социальные показатели;-1
Уровень жизни населения;-1
Демографические показатели;-1
1.3. Социальное развитие;5
1.3.1. Развитие человеческого капитала;5
1.3.1.1. Население Амурской области;-1
1.3.1.2. Здравоохранение;-1
1.3.1.3. Образование;-1
1.3.1.4. Культура;-1
1.3.1.5. Физическая культура и спорт;-1
1.3.1.6. Развитие гражданского общества и молодежная политика;-1
1.3.1.7. Социальная защита населения;-1
1.3.2. Качество инфраструктуры жизнеобеспечения, общественная безопасность;-1
1.3.2.1. Инженерная инфраструктура и жилищно-коммунальное хозяйство;-1
1.3.2.2. Экологическая безопасность и благоустройство территорий;-1
1.3.3. Связь и IT-технологии;-1
1.4. Экономическое развитие;-1
1.4.1. Валовый региональный продукт;-1
1.4.2. Промышленность;-1
Добыча полезных ископаемых;-1
Обрабатывающие производства;-1
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха";-1
Водоснабжение, водоотведение;-1
Лесопромышленный комплекс;-1
1.4.3. Сельское хозяйство;-1
Растениеводство;-1
Животноводство;-1
1.4.4. Транспорт;-1
Дорожное хозяйство;-1
Автомобильный транспорт;-1
Железнодорожный транспорт;-1
Авиационный транспорт;-1
Внутренний водный транспорт;-1
"Космодром ""Восточный""";-1
1.4.5. Строительство;-1
1.4.6. Внешнеэкономическая деятельность;-1
1.4.7. Туризм;-1
1.4.8. Торговля и сфера услуг;-1
1.5. Инвестиционная и финансовая сферы;-1
1.5.1. Бюджетная система;-1
1.5.2. Инвестиции;-1
1.5.3. Инновации;-1
1.5.4. Банковский и страховой секторы;-1
Банковский сектор;-1
Страховой сектор;-1
2. Анализ конкурентных преимуществ, сильных и слабых сторон;-1
2.1. Конкурентные преимущества Амурской области;-1
2.2. Сильные и слабые стороны Амурской области, угрозы и возможности развития;-1
2.3. Сценарии социально-экономического развития Амурской области;4
2.4. Миссия, стратегические цели, задачи и принципы социально-экономического развития Амурской области;3
3. Приоритетные стратегические направления развития Амурской области;6
3.1. Приоритетные направления развития экономики Амурской области;-1
3.2. Приоритетные направления развития социальной, коммунальной и бытовой сфер Амурской области;-1
4. Механизмы реализации Стратегии;-1
4.1. Финансовые механизмы реализации Стратегии;13
4.1.1. Программно-целевой механизм;-1
4.1.2. Инфраструктурное меню;-1
4.1.3. Институты развития;-1
4.2. Преференциальные режимы;-1
4.3. Нефинансовые механизмы реализации Стратегии;-1
5. Мониторинг и контроль за реализацией Стратегии;-1
6. Целевые показатели социально-экономического развития;15
Приложение N 1. ПЕРЕЧЕНЬ КЛЮЧЕВЫХ МЕРОПРИЯТИЙ (ИНВЕСТИЦИОННЫХ ПРОЕКТОВ) В СФЕРЕ ЭКОНОМИКИ, НАПРАВЛЕННЫХ НА РАЗВИТИЕ АМУРСКОЙ ОБЛАСТИ, ДО 2035 ГОДА;17
Добыча полезных ископаемых;-1
Обрабатывающие производства;-1
Энергетика;-1
АПК;-1
Транспортный комплекс;-1
Строительство, включая жилищное строительство;-1
Туризм;-1
Космическая отрасль;-1
Химическое производство;-1
Связь и информационные технологии;-1
Приложение N 2. ПЕРЕЧЕНЬ МЕРОПРИЯТИЙ (ИНВЕСТИЦИОННЫХ ПРОЕКТОВ), НАПРАВЛЕННЫХ НА РАЗВИТИЕ ИНФРАСТРУКТУРЫ АМУРСКОЙ ОБЛАСТИ, ДО 2035 ГОДА;17
Здравоохранение;-1
Образование;-1
Культура;-1
Физическая культура;-1
Социальное обслуживание населения;-1
Инженерная инфраструктура;-1
Иное;-1
Приложение N 3. СПЕЦИАЛИЗАЦИИ МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ АМУРСКОЙ ОБЛАСТИ В СООТВЕТСТВИИ СО СТРАТЕГИЕЙ ПРОСТРАНСТВЕННОГО РАЗВИТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ НА ПЕРИОД ДО 2025 ГОДА,;-1
