Введение;1
1. Пространственное позиционирование Республики Тыва. Оценка основных конкурентных преимуществ. Swot-анализ;10
Swot-анализ;-1
2. Цель и задачи, основные приоритеты долгосрочного развития Республики Тыва;3
3. Возможные сценарии перспективного развития Тувы;4
3.1. Базовый сценарий развития;4
3.2. Целевой сценарий развития;4
4. Основные направления развития человеческого капитала и социальной сферы Республики Тыва;5
4.1. Развитие здравоохранения;-1
4.2. Развитие образования;-1
4.3. Культурное пространство;-1
4.4. Система социальной защиты населения;-1
4.5. Развитие молодежной политики;-1
4.6. Развитие физической культуры и спорта;-1
4.7. Укрепление гражданского общества, гармонизация межнациональных и межконфессиональных отношений;-1
4.8. Общественная безопасность;-1
5. Основные направления развития экономики Республики Тыва;6
5.1. Развитие транспортной инфраструктуры;-1
5.2. Перспективные проекты сырьевой базы. Обеспечение экологической безопасности;-1
5.3. Развитие топливно-энергетического комплекса;-1
5.4. Развитие малого и среднего предпринимательства;-1
5.5. Развитие туризма;-1
5.6. Развитие агропромышленного комплекса;-1
5.7. Развитие лесосырьевой базы;-1
5.8. Развитие строительной отрасли и жилищно-коммунального комплекса;-1
5.9. Информационное общество;-1
6. Развитие рынка труда и обеспечение занятости населения;-1
7. Развитие межрегиональных и внешнеэкономических связей Республики Тыва;9
8. Новые формы территориальной организации производственных сил. Особая экономическая зона в Туве;-1
8.1. Цели и структура ОЭЗ;-1
8.2. Этапы и эффективность создания ОЭЗ;-1
8.3. Проблемы создания ОЭЗ в регионе;-1
9. Механизмы реализации Стратегии;14
9.1. Инструменты реализации Стратегии;-1
9.2. Система управления и мониторинга реализации Стратегии;-1
9.3. Ресурсное обеспечение Стратегии;13
9.4. Результаты и эффективность реализации Стратегии;16
Приложение N 1. СОЦИАЛЬНО-ЭКОНОМИЧЕСКОЕ РАЗВИТИЕ РЕСПУБЛИКИ ТЫВА ЗА 2011 - 2017 ГОДЫ;2
Динамика среднедушевого производства ВРП;-1
ВРП Республики Тыва по источникам доходов;-1
Приложение N 2. ПОКАЗАТЕЛИ ДОСТИЖЕНИЯ ЦЕЛЕЙ СТРАТЕГИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ ТЫВА ДО 2030 ГОДА;15
Демография;-1
Трудовые ресурсы;-1
Уровень жизни;-1
Образование;-1
Культура;-1
Физическая культура и спорт;-1
Общественная безопасность;-1
Экономика;-1
Экология;-1
Внешнеэкономическая деятельность;-1
Консолидированный бюджет Республики Тыва;-1
Приложение N 3. ИНВЕСТИЦИОННЫЕ ПРОЕКТЫ РЕСПУБЛИКИ ТЫВА;17
Стратегическая цель - развитие транспортной инфраструктуры;-1
Стратегическая цель - развитие топливно-энергетического комплекса;-1
Стратегическая цель - развитие промышленности;-1
Стратегическая цель - развитие лесопромышленного комплекса;-1
Стратегическая цель - развитие малого и среднего предпринимательства;-1
Стратегическая цель - развитие агропромышленного комплекса;-1
Стратегическая цель - развитие туризма;-1
Стратегическая цель - развитие строительства;-1
Стратегическая цель - развитие жилищно-коммунального хозяйства;-1
Стратегическая цель - развитие здравоохранения;-1
Стратегическая цель - развитие спорта и молодежной политики;-1
Стратегическая цель - внедрение цифровых технологий;-1
Стратегическая цель - развитие культуры;-1
Стратегическая цель - развитие образования;-1
Стратегическая цель - развитие социальной защиты населения;-1
Приложение N 4. ПЕРЕЧЕНЬ ГОСУДАРСТВЕННЫХ ПРОГРАММ РЕСПУБЛИКИ ТЫВА;18
