Сроки и этапы реализации Стратегии;14
СЦ-1. ВЫСОКИЙ УРОВЕНЬ ЖИЗНИ ЧЕЛОВЕКА;-1
Ц-1.1. Сохранение культурного наследия и единства многонационального народа Республики Саха (Якутия);-1
Ц-1.2. Якутия - регион с благоприятной социальной средой;-1
Ц-1.3. Эффективная пациентоориентированная система здравоохранения;-1
Ц-1.4. Здоровый образ жизни, физическая культура и развитие спортивного движения;-1
Ц-1.5. Открытое образовательное пространство, обеспечивающее равные шансы на жизненный успех, конкурентоспособность человека в мировом пространстве;-1
Ц-1.6. Якутия - территория с развитым рынком труда. Кадровое обеспечение потребностей экономики;-1
СЦ-2. ЭФФЕКТИВНОЕ УПРАВЛЕНИЕ ТЕРРИТОРИЯМИ;10
Ц-2.1. Транспортная система, обеспечивающая конкурентоспособное развитие производства и коммуникативную мобильность населения;-1
Ц-2.2. Надежное, качественное и доступное электроснабжение для существующих и новых потребителей;-1
Ц-2.3. Доступное благоустроенное жилье с безопасной и комфортной средой проживания населения;-1
Ц-2.4. Устойчивое повышение уровня безопасности жителей республики, сбережение человеческих жизней от угроз природного и техногенного характера с учетом климатических условий проживания;-1
Ц-2.5. Гарантированная и своевременная доставка грузов в районы с ограниченными сроками завоза грузов;-1
СЦ-3. ГЛОБАЛЬНО КОНКУРЕНТОСПОСОБНЫЕ БАЗОВЫЕ ОТРАСЛИ ЭКОНОМИКИ;6
Ц-3.1. Минерально-сырьевая база, позволяющая устойчиво обеспечивать сырьем потребности промышленности и населения;-1
Ц-3.2. Мировое лидерство Якутии по добыче алмазов с созданием алмазно-бриллиантового комплекса регионального уровня;-1
Ц-3.3. Развитие золотодобывающей промышленности;-1
Ц-3.4. Создание сереброрудной промышленности;-1
Ц-3.5. Создание крупного центра оловодобычи России;-1
Ц-3.6. Создание производства сурьмяных концентратов;-1
Ц-3.7. Создание новой полиметаллической отрасли промышленности, обеспечивающей потребности российской экономики в свинце и цинке;-1
Ц-3.8. Якутия - российский лидер по добыче редкоземельных металлов;-1
Ц-3.9. Современный нефтегазовый комплекс с высокой добавленной стоимостью и надежной системой газоснабжения как ресурсный источник реализации задач повышения качества жизни населения;-1
Ц-3.10. Создание экспортно ориентированного угольного кластера;-1
Ц-3.11. Создание кластера черной металлургии на базе железорудных месторождений Южной Якутии;-1
Ц-3.12. Комплекс по добыче и переработке прочих полезных ископаемых;-1
Ц-3.13. Социальная ответственность бизнеса как платформа партнерских отношений;-1
СЦ-4. РАЗВИТИЕ НЕСЫРЬЕВОЙ ЭКСПОРТНО ОРИЕНТИРОВАННОЙ ЭКОНОМИКИ;-1
БАЗОВЫЙ НЕСЫРЬЕВОЙ СЕКТОР;-1
ВЫСОКОТЕХНОЛОГИЧНЫЙ СЕКТОР;-1
СЦ-5. СОХРАНЕНИЕ ПРИРОДЫ ДЛЯ БУДУЩИХ ПОКОЛЕНИЙ И ВСЕГО МИРА;8
Ц-5.1. Благоприятная окружающая природная среда и создание условий для регенерации экосистем;8
"Ц-5.2. Создание условий для формирования экологически ориентированной ""зеленой"" экономики";8
МЕХАНИЗМ РЕАЛИЗАЦИИ СТРАТЕГИИ;16
Оценка финансовых ресурсов;13
Приложение 1. СТРАТЕГИЧЕСКИЙ АНАЛИЗ ТЕКУЩЕГО СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО ПОЛОЖЕНИЯ РЕСПУБЛИКИ САХА (ЯКУТИЯ);2
Характеристика социально-экономических условий развития;-1
Оценка достигнутых целей социально-экономического развития;-1
Результаты SWOT-анализа;-1
Сильные стороны;-1
Слабые стороны;-1
Возможности;-1
Угрозы;-1
Глобальные тенденции;-1
Приложение 2. ПРОСТРАНСТВЕННОЕ РАЗВИТИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ);10
Достижение нового качества центров экономического роста;-1
Диверсифицированная Якутская городская агломерация;-1
Развитие существующих сырьевых центров;-1
Южно-Якутский промышленный центр;-1
Алданская горнопромышленная зона;-1
Развитие сельских территорий путем формирования опорной сети сельских населенных пунктов и эффективного управления;-1
Агропояс Якутской городской агломерации;-1
"Агропромышленная зона ""Заречье""";-1
Вилюйская агропромышленная зона;-1
Создание условий для повышения уровня жизни населения арктических территорий Республики Саха (Якутия);-1
Приложение 3. ИНВЕСТИЦИОННАЯ СТРАТЕГИЯ РЕСПУБЛИКИ САХА (ЯКУТИЯ);-1
Приложение 4. ЭКСПОРТНАЯ СТРАТЕГИЯ РЕСПУБЛИКИ САХА (ЯКУТИЯ);-1
Оценка экспортного потенциала Республики Саха (Якутия);-1
Механизмы реализации экспортной стратегии;-1
Приложение 5. РЕСПУБЛИКА САХА (ЯКУТИЯ) - 2050. ЦЕЛЕВОЕ ВИДЕНИЕ;-1
Гармонично развитый и конкурентоспособный человек - главная ценность Республики Саха (Якутия). Республика Саха (Якутия) - регион, привлекательный для жизни;-1
Комфортная среда проживания и возможности для полноценной реализации человеческого потенциала;-1
Глобально конкурентоспособные базовые отрасли экономики с расширенной сервисной средой при рациональном природопользовании и высокой социальной ответственности бизнеса;-1
Новые конкурентоспособные перерабатывающие производства с длительными технологическими цепочками;-1
Республика Саха (Якутия) - магнит технологий для жизни в условиях низких температур и обширных территорий, узнаваемый лидер креативной экономики;-1
"Эффективное и рациональное использование природных ресурсов, формирование ""зеленой"" экономики";-1
Открытая и эффективная система управления;-1
Приложение 6. ОСНОВНЫЕ ПОКАЗАТЕЛИ СТРАТЕГИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ДО 2032 ГОДА;15
I. Высокий уровень жизни человека;-1
II. Эффективное управление территориями;-1
III. Глобально конкурентоспособные базовые отрасли экономики;-1
IV. Развитие несырьевой экспортно ориентированной экономики;-1
V. Сохранение природы для будущих поколений и всего мира;-1
